date_id,T_name,T_irret,TF_name,TF_irret,FutYHret,X10_5
2016/1/27,T1603.CFE,0.0304,TF1603.CFE,0.028833333,15.67,18.39
2016/1/28,T1603.CFE,0.030033333,TF1603.CFE,0.0285,15.33,16.95
2016/1/29,T1603.CFE,0.029433333,TF1603.CFE,0.027966667,14.67,12.51
2016/2/1,T1603.CFE,0.0295,TF1603.CFE,0.028066667,14.33,15.51
2016/2/2,T1603.CFE,0.0301,TF1603.CFE,0.0286,15,15.6
2016/2/3,T1603.CFE,0.0299,TF1603.CFE,0.028466667,14.33,14.04
2016/2/4,T1603.CFE,0.0296,TF1603.CFE,0.028133333,14.67,14.04
2016/2/5,T1606.CFE,0.030333333,TF1606.CFE,0.0289,14.33,13.72
2016/2/15,T1606.CFE,0.0298,TF1606.CFE,0.028266667,15.33,16
2016/2/16,T1606.CFE,0.0302,TF1606.CFE,0.028733333,14.67,19.17
2016/2/17,T1606.CFE,0.0302,TF1606.CFE,0.0288,14,19.39
2016/2/18,T1606.CFE,0.0301,TF1606.CFE,0.028633333,14.67,17.07
2016/2/19,T1606.CFE,0.0302,TF1606.CFE,0.028733333,14.67,19.34
2016/2/22,T1606.CFE,0.030366667,TF1606.CFE,0.028933333,14.33,17.11
2016/2/23,T1606.CFE,0.0304,TF1606.CFE,0.029,14,20.67
2016/2/24,T1606.CFE,0.0305,TF1606.CFE,0.028966667,15.33,20.31
2016/2/25,T1606.CFE,0.0307,TF1606.CFE,0.0292,15,18.86
2016/2/26,T1606.CFE,0.030733333,TF1606.CFE,0.029033333,17,22.99
2016/2/29,T1606.CFE,0.0307,TF1606.CFE,0.028833333,18.67,19.68
2016/3/1,T1606.CFE,0.0308,TF1606.CFE,0.028633333,21.67,21.92
2016/3/2,T1606.CFE,0.031033333,TF1606.CFE,0.028933333,21,25.75
2016/3/3,T1606.CFE,0.031233333,TF1606.CFE,0.0294,18.33,25.63
2016/3/4,T1606.CFE,0.031133333,TF1606.CFE,0.0291,20.33,25.54
2016/3/7,T1606.CFE,0.031566667,TF1606.CFE,0.0297,18.67,26.65
2016/3/8,T1606.CFE,0.031433333,TF1606.CFE,0.0295,19.33,29.77
2016/3/9,T1606.CFE,0.031033333,TF1606.CFE,0.028833333,22,25.63
2016/3/10,T1606.CFE,0.0308,TF1606.CFE,0.0286,22,25.39
2016/3/11,T1606.CFE,0.0304,TF1606.CFE,0.028233333,21.67,27.54
2016/3/14,T1606.CFE,0.0305,TF1606.CFE,0.028233333,22.67,28.64
2016/3/15,T1606.CFE,0.030366667,TF1606.CFE,0.028266667,21,28.63
2016/3/16,T1606.CFE,0.0301,TF1606.CFE,0.027966667,21.33,26.56
2016/3/17,T1606.CFE,0.0303,TF1606.CFE,0.0283,20,29.59
2016/3/18,T1606.CFE,0.0304,TF1606.CFE,0.028266667,21.33,27.73
2016/3/21,T1606.CFE,0.0306,TF1606.CFE,0.0287,19,27.17
2016/3/22,T1606.CFE,0.030433333,TF1606.CFE,0.028433333,20,29.76
2016/3/23,T1606.CFE,0.0304,TF1606.CFE,0.028366667,20.33,29.22
2016/3/24,T1606.CFE,0.0302,TF1606.CFE,0.028066667,21.33,30.84
2016/3/25,T1606.CFE,0.0302,TF1606.CFE,0.028033333,21.67,34.45
2016/3/28,T1606.CFE,0.0304,TF1606.CFE,0.028133333,22.67,37.75
2016/3/29,T1606.CFE,0.0302,TF1606.CFE,0.0274,28,37.49
2016/3/30,T1606.CFE,0.0302,TF1606.CFE,0.0272,30,36.35
