date_id,T_name,T_irret,T_close,T_settle,TF_name,TF_irret,TF_close,TF_settle,FutYHret,quan90,quan80,quan70,quan60,quan50,quan40,quan30,quan20,quan10,position_T90,position_TF90,position_T80,position_TF80,position_T70,position_TF70,position_T60,position_TF60
2019/5/23,T1909.CFE,0.034133332999999995,96.79,96.79,TF1909.CFE,0.032533333,98.955,98.945,16.0,21.03,19.33,17.0,16.67,16.0,15.67,15.33,14.67,14.0,0,0,-1,2,-1,2,-1,2
2019/5/24,T1909.CFE,0.0341,96.77,96.805,TF1909.CFE,0.032466667000000005,98.955,98.96,16.33,21.03,19.33,17.0,16.67,16.0,15.67,15.33,14.67,14.0,0,0,0,0,0,0,0,0
2019/5/27,T1909.CFE,0.0348,96.3,96.26,TF1909.CFE,0.033266667,98.63,98.635,15.33,21.03,19.33,17.0,16.67,16.0,15.67,15.33,14.93,14.0,0,0,0,0,-1,2,-1,2
2019/5/28,T1909.CFE,0.034466667,96.54,96.55,TF1909.CFE,0.032933332999999995,98.75,98.77,15.33,21.03,19.33,17.0,16.67,16.0,15.67,15.33,15.0,14.3,0,0,0,0,-1,2,-1,2
2019/5/29,T1909.CFE,0.034,96.87,96.875,TF1909.CFE,0.032433332999999995,98.975,98.98,15.67,21.03,19.33,17.0,16.67,16.0,15.67,15.33,15.0,14.3,0,0,0,0,-1,2,-1,2
2019/5/30,T1909.CFE,0.034,96.885,96.88,TF1909.CFE,0.032366667,99.0,99.005,16.33,21.03,19.33,17.0,16.67,16.16,15.87,15.33,15.0,14.33,0,0,0,0,0,0,0,0
2019/5/31,T1909.CFE,0.033966667,96.93,96.885,TF1909.CFE,0.032333333,99.04,99.02,16.33,21.03,19.33,17.0,16.67,16.33,16.0,15.33,15.0,14.33,0,0,0,0,0,0,0,0
2019/6/3,T1909.CFE,0.033566667,97.2,97.215,TF1909.CFE,0.031966667000000004,99.16,99.175,16.0,21.03,19.33,17.0,16.67,16.33,16.0,15.33,15.0,14.33,0,0,0,0,0,0,-1,2
2019/6/4,T1909.CFE,0.0334,97.355,97.345,TF1909.CFE,0.031766667,99.265,99.25,16.33,21.03,19.33,17.0,16.67,16.33,16.0,15.33,15.0,14.64,0,0,0,0,0,0,-1,2
2019/6/5,T1909.CFE,0.033266667,97.505,97.455,TF1909.CFE,0.0317,99.325,99.29,15.67,21.03,19.33,17.0,16.67,16.33,16.0,15.57,15.26,14.67,0,0,0,0,0,0,-1,2
2019/6/6,T1909.CFE,0.0332,97.47,97.5,TF1909.CFE,0.031666667,99.29,99.305,15.33,21.03,19.33,17.0,16.67,16.33,16.0,15.57,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/6/10,T1909.CFE,0.0333,97.41,97.425,TF1909.CFE,0.0317,99.26,99.285,16.0,21.03,19.33,17.0,16.67,16.33,16.0,15.67,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/6/11,T1909.CFE,0.033666667000000004,97.095,97.115,TF1909.CFE,0.032166667,99.085,99.09,15.0,21.03,19.33,17.0,16.67,16.33,16.0,15.57,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/6/12,T1909.CFE,0.033666667000000004,97.13,97.16,TF1909.CFE,0.032066667,99.125,99.12,16.0,21.03,19.33,17.0,16.67,16.33,16.0,15.57,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/6/13,T1909.CFE,0.033366667,97.34,97.365,TF1909.CFE,0.031766667,99.255,99.255,16.0,21.03,19.33,17.0,16.67,16.33,16.0,15.57,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/6/14,T1909.CFE,0.0331,97.575,97.565,TF1909.CFE,0.0315,99.39,99.365,16.0,21.03,19.33,17.0,16.67,16.16,16.0,15.57,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/6/17,T1909.CFE,0.033,97.665,97.66,TF1909.CFE,0.0314,99.415,99.42,16.0,21.03,19.33,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/6/18,T1909.CFE,0.033266667,97.49,97.445,TF1909.CFE,0.031566667,99.355,99.335,17.0,21.03,19.33,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/6/19,T1909.CFE,0.033366667,97.36,97.38,TF1909.CFE,0.0316,99.32,99.32,17.67,21.03,19.33,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/6/20,T1909.CFE,0.033266667,97.37,97.435,TF1909.CFE,0.0315,99.33,99.36,17.67,21.03,19.33,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/6/21,T1909.CFE,0.0332,97.475,97.5,TF1909.CFE,0.0314,99.39,99.4,18.0,21.03,18.8,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/6/24,T1909.CFE,0.033466667,97.31,97.31,TF1909.CFE,0.031666667,99.3,99.305,18.0,21.03,18.13,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/6/25,T1909.CFE,0.0333,97.395,97.405,TF1909.CFE,0.031566667,99.325,99.335,17.33,21.03,18.0,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/6/26,T1909.CFE,0.0335,97.265,97.27,TF1909.CFE,0.031733332999999996,99.265,99.275,17.67,21.03,17.74,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/6/27,T1909.CFE,0.033566667,97.21,97.235,TF1909.CFE,0.0318,99.24,99.245,17.67,21.03,17.67,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/6/28,T1909.CFE,0.0332,97.54,97.495,TF1909.CFE,0.031466667000000004,99.395,99.39,17.33,21.03,17.67,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/1,T1909.CFE,0.033066667,97.605,97.595,TF1909.CFE,0.031366667,99.435,99.425,17.0,21.03,17.67,17.0,16.47,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/2,T1909.CFE,0.0325,98.06,98.015,TF1909.CFE,0.0309,99.685,99.635,16.0,21.03,17.67,17.0,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
2019/7/3,T1909.CFE,0.0322,98.23,98.255,TF1909.CFE,0.0306,99.73,99.755,16.0,21.03,17.67,17.0,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
