future_name,date_id,close,settle,sec_name
TS00.CFE,2019-12-04,100.475,100.475,TS1912.CFE
TS00.CFE,2019-12-05,100.48,100.48,TS1912.CFE
TS00.CFE,2019-12-06,100.46,100.46,TS1912.CFE
TS00.CFE,2019-12-09,100.44,100.445,TS1912.CFE
TS00.CFE,2019-12-10,100.46,100.46,TS1912.CFE
TS00.CFE,2019-12-11,100.47,100.47,TS1912.CFE
TS00.CFE,2019-12-12,100.495,100.49,TS1912.CFE
TS00.CFE,2019-12-13,100.495,100.46,TS1912.CFE
TS00.CFE,2019-12-16,100.22,100.22,TS2003.CFE
TS00.CFE,2019-12-17,100.175,100.175,TS2003.CFE
TS00.CFE,2019-12-18,100.165,100.17,TS2003.CFE
TS00.CFE,2019-12-19,100.185,100.18,TS2003.CFE
TS00.CFE,2019-12-20,100.295,100.265,TS2003.CFE
TS00.CFE,2019-12-23,100.345,100.32,TS2003.CFE
TS00.CFE,2019-12-24,100.34,100.335,TS2003.CFE
TS00.CFE,2019-12-25,100.38,100.365,TS2003.CFE
TS00.CFE,2019-12-26,100.43,100.43,TS2003.CFE
TS00.CFE,2019-12-27,100.4,100.41,TS2003.CFE
TS00.CFE,2019-12-30,100.42,100.41,TS2003.CFE
TS00.CFE,2019-12-31,100.42,100.42,TS2003.CFE
TS00.CFE,2020-01-02,100.37,100.37,TS2003.CFE
TS00.CFE,2020-01-03,100.325,100.335,TS2003.CFE
TS00.CFE,2020-01-06,100.345,100.35,TS2003.CFE
TS00.CFE,2020-01-07,100.34,100.345,TS2003.CFE
TS00.CFE,2020-01-08,100.37,100.37,TS2003.CFE
TS00.CFE,2020-01-09,100.415,100.43,TS2003.CFE
TS00.CFE,2020-01-10,100.52,100.505,TS2003.CFE
TS00.CFE,2020-01-13,100.5,100.5,TS2003.CFE
TS00.CFE,2020-01-14,100.45,100.45,TS2003.CFE
TS00.CFE,2020-01-15,100.47,100.465,TS2003.CFE
TS00.CFE,2020-01-16,100.46,100.475,TS2003.CFE
TS00.CFE,2020-01-17,100.545,100.525,TS2003.CFE
TS00.CFE,2020-01-20,100.655,100.635,TS2003.CFE
TS00.CFE,2020-01-21,100.68,100.665,TS2003.CFE
TS00.CFE,2020-01-22,100.645,100.64,TS2003.CFE
TS00.CFE,2020-01-23,100.73,100.71,TS2003.CFE
TS00.CFE,2020-02-03,100.94,100.975,TS2003.CFE
TS00.CFE,2020-02-04,100.95,100.965,TS2003.CFE
TS00.CFE,2020-02-05,100.995,101.02,TS2003.CFE
